Line 806: p=1, b=3, s=0
Line 807: p=1, b=3, s=0
Line 808: p=1, b=3, s=0
Line 809: p=1, b=3, s=0
Line 810: p=1, b=3, s=0
Line 811: p=1, b=3, s=0
Line 812: p=1, b=4, s=0
Line 813: p=1, b=5, s=0
Line 814: p=1, b=5, s=0
Line 815: p=1, b=5, s=0
Line 816: p=1, b=6, s=0
Line 817: p=1, b=6, s=0
Line 818: p=1, b=6, s=0
Line 819: p=1, b=5, s=0
Line 820: p=1, b=5, s=0
Line 821: p=1, b=4, s=0
Line 822: p=1, b=5, s=0
Line 823: p=1, b=5, s=0
